date,dcoilwtico
1/1/2013,
1/2/2013,93.13999939
1/3/2013,92.97000122
1/4/2013,93.12000275
1/7/2013,93.19999695
1/8/2013,93.20999908
1/9/2013,93.08000183
1/10/2013,93.80999756
1/11/2013,93.59999847
1/14/2013,94.26999664
1/15/2013,93.26000214
1/16/2013,94.27999878
1/17/2013,95.48999786
1/18/2013,95.61000061
1/21/2013,
1/22/2013,96.08999634
1/23/2013,95.05999756
1/24/2013,95.34999847
1/25/2013,95.15000153
1/28/2013,95.94999695
1/29/2013,97.62000275
1/30/2013,97.98000336
1/31/2013,97.65000153
2/1/2013,97.45999908
2/4/2013,96.20999908
2/5/2013,96.68000031
2/6/2013,96.44000244
2/7/2013,95.83999634
2/8/2013,95.70999908
2/11/2013,97.01000214
2/12/2013,97.48000336
2/13/2013,97.02999878
2/14/2013,97.30000305
2/15/2013,95.94999695
2/18/2013,
2/19/2013,96.69000244
2/20/2013,94.91999817
2/21/2013,92.79000092
2/22/2013,93.12000275
2/25/2013,92.73999786
2/26/2013,92.62999725
2/27/2013,92.83999634
2/28/2013,92.02999878
3/1/2013,90.70999908
3/4/2013,90.12999725
3/5/2013,90.87999725
3/6/2013,90.47000122
3/7/2013,91.52999878
3/8/2013,92.01000214
3/11/2013,92.06999969
3/12/2013,92.44000244
3/13/2013,92.47000122
3/14/2013,93.02999878
3/15/2013,93.48999786
3/18/2013,93.70999908
3/19/2013,92.44000244
3/20/2013,93.20999908
3/21/2013,92.45999908
3/22/2013,93.41000366
3/25/2013,94.55000305
3/26/2013,95.98999786
3/27/2013,96.52999878
3/28/2013,97.23999786
3/29/2013,
4/1/2013,97.09999847
4/2/2013,97.23000336
4/3/2013,95.01999664
4/4/2013,93.26000214
4/5/2013,92.76000214
4/8/2013,93.36000061
4/9/2013,94.18000031
4/10/2013,94.58999634
4/11/2013,93.44000244
4/12/2013,91.23000336
4/15/2013,88.75
4/16/2013,88.73000336
4/17/2013,86.65000153
4/18/2013,87.83000183
4/19/2013,88.04000092
4/22/2013,88.80999756
4/23/2013,89.20999908
4/24/2013,91.06999969
4/25/2013,93.26999664
4/26/2013,92.62999725
4/29/2013,94.08999634
4/30/2013,93.22000122
5/1/2013,90.73999786
5/2/2013,93.69999695
5/3/2013,95.25
5/6/2013,95.80000305
5/7/2013,95.27999878
5/8/2013,96.23999786
5/9/2013,96.08999634
5/10/2013,95.80999756
5/13/2013,94.76000214
5/14/2013,93.95999908
5/15/2013,93.94999695
5/16/2013,94.84999847
5/17/2013,95.72000122
5/20/2013,96.29000092
5/21/2013,95.55000305
5/22/2013,93.98000336
5/23/2013,94.12000275
5/24/2013,93.83999634
5/27/2013,
5/28/2013,94.65000153
5/29/2013,93.12999725
5/30/2013,93.56999969
5/31/2013,91.93000031
6/3/2013,93.41000366
6/4/2013,93.36000061
6/5/2013,93.66000366
6/6/2013,94.70999908
6/7/2013,96.11000061
6/10/2013,95.81999969
6/11/2013,95.5
6/12/2013,95.98000336
6/13/2013,96.66000366
6/14/2013,97.83000183
6/17/2013,97.86000061
6/18/2013,98.45999908
6/19/2013,98.23999786
6/20/2013,94.88999939
6/21/2013,93.80999756
6/24/2013,95.06999969
6/25/2013,95.25
6/26/2013,95.47000122
6/27/2013,97
6/28/2013,96.36000061
7/1/2013,97.94000244
7/2/2013,99.65000153
7/3/2013,101.9199982
7/4/2013,
7/5/2013,103.0899963
7/8/2013,103.0299988
7/9/2013,103.4599991
7/10/2013,106.4100037
7/11/2013,104.7699966
7/12/2013,105.8499985
7/15/2013,106.1999969
7/16/2013,105.8799973
7/17/2013,106.3899994
7/18/2013,107.9400024
7/19/2013,108
7/22/2013,106.6100006
7/23/2013,107.1299973
7/24/2013,105.4100037
7/25/2013,105.4700012
7/26/2013,104.7600021
7/29/2013,104.6100006
7/30/2013,103.1399994
7/31/2013,105.0999985
8/1/2013,107.9300003
8/2/2013,106.9400024
8/5/2013,106.6100006
8/6/2013,105.3199997
8/7/2013,104.4100037
8/8/2013,103.4499969
8/9/2013,106.0400009
8/12/2013,106.1900024
8/13/2013,106.7799988
8/14/2013,106.8899994
8/15/2013,107.4300003
8/16/2013,107.5800018
8/19/2013,107.1399994
8/20/2013,104.9000015
8/21/2013,103.9300003
8/22/2013,104.9300003
8/23/2013,106.4800034
8/26/2013,105.8799973
8/27/2013,109.1100006
8/28/2013,110.1699982
8/29/2013,108.5100021
8/30/2013,107.9800034
9/2/2013,
9/3/2013,108.6699982
9/4/2013,107.2900009
9/5/2013,108.5
9/6/2013,110.6200027
9/9/2013,109.6200027
9/10/2013,107.4800034
9/11/2013,107.6500015
9/12/2013,108.7200012
9/13/2013,108.3099976
9/16/2013,106.5400009
9/17/2013,105.3600006
9/18/2013,108.2300034
9/19/2013,106.2600021
9/20/2013,104.6999969
9/23/2013,103.6200027
9/24/2013,103.2200012
9/25/2013,102.6800003
9/26/2013,103.0999985
9/27/2013,102.8600006
9/30/2013,102.3600006
10/1/2013,102.0899963
10/2/2013,104.1500015
10/3/2013,103.2900009
10/4/2013,103.8300018
10/7/2013,103.0699997
10/8/2013,103.5400009
10/9/2013,101.6299973
10/10/2013,103.0800018
10/11/2013,102.1699982
10/14/2013,102.4599991
10/15/2013,101.1500015
10/16/2013,102.3399963
10/17/2013,100.7200012
10/18/2013,100.8700027
